action_id,case_id,tool_id,action_type,actor,status,risk_level,input_payload,result_payload,external_ref,idempotency_key,approval_id,amount,executed_at
ACT-0011,CASE-0004,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3,"{""case_id"": ""CASE-0004"", ""evidence_ids"": [""EVID-00013"", ""EVID-00014"", ""EVID-00015""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-12 \u2014 \u20b91945.43\n\nOrder ORD-12 (payment PAY-0012) settled \u20b90 against contractual expectation \u20b91945.43 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91945.43."", ""amount"": 1945.43}","{""external_reference"": ""DIS-CASE-0004"", ""dispute_id"": ""DIS-CASE-0004"", ""status"": ""SUBMITTED"", ""submitted_at"": ""2026-09-05T07:12:58Z"", ""simulated"": true}",DIS-CASE-0004,CASE-0004_CREATE,APR-0005,1945.43,2026-09-05T07:12:58Z
ACT-0012,CASE-0108,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1,"{""case_id"": ""CASE-0108"", ""evidence_ids"": [""EVID-00367"", ""EVID-00368"", ""EVID-00369""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-705 \u2014 \u20b91722.34\n\nOrder ORD-705 (payment PAY-0705) settled \u20b90 against contractual expectation \u20b91722.34 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91722.34."", ""amount"": 1722.34}","{""draft_id"": ""DRF-CASE-0108"", ""draft"": ""Subject: Settlement discrepancy on ORD-705 \u2014 \u20b91722.34\n\nOrder ORD-705 (payment PAY-0705) settled \u20b90 against contractual expectation \u20b91722.34 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91722.34.""}",,CASE-0108_DRAFT,,1722.34,2026-09-05T07:12:58Z
ACT-0013,CASE-0108,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3,"{""case_id"": ""CASE-0108"", ""evidence_ids"": [""EVID-00367"", ""EVID-00368"", ""EVID-00369""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-705 \u2014 \u20b91722.34\n\nOrder ORD-705 (payment PAY-0705) settled \u20b90 against contractual expectation \u20b91722.34 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91722.34."", ""amount"": 1722.34}","{""external_reference"": ""DIS-CASE-0108"", ""dispute_id"": ""DIS-CASE-0108"", ""status"": ""SUBMITTED"", ""submitted_at"": ""2026-09-05T07:12:58Z"", ""simulated"": true}",DIS-CASE-0108,CASE-0108_CREATE,APR-0006,1722.34,2026-09-05T07:12:58Z
ACT-0014,CASE-0121,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1,"{""case_id"": ""CASE-0121"", ""evidence_ids"": [""EVID-00415"", ""EVID-00416"", ""EVID-00417""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-807 \u2014 \u20b91616.44\n\nOrder ORD-807 (payment PAY-0807) settled \u20b90 against contractual expectation \u20b91616.44 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91616.44."", ""amount"": 1616.44}","{""draft_id"": ""DRF-CASE-0121"", ""draft"": ""Subject: Settlement discrepancy on ORD-807 \u2014 \u20b91616.44\n\nOrder ORD-807 (payment PAY-0807) settled \u20b90 against contractual expectation \u20b91616.44 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91616.44.""}",,CASE-0121_DRAFT,,1616.44,2026-09-05T07:12:58Z
ACT-0015,CASE-0121,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3,"{""case_id"": ""CASE-0121"", ""evidence_ids"": [""EVID-00415"", ""EVID-00416"", ""EVID-00417""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-807 \u2014 \u20b91616.44\n\nOrder ORD-807 (payment PAY-0807) settled \u20b90 against contractual expectation \u20b91616.44 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91616.44."", ""amount"": 1616.44}","{""external_reference"": ""DIS-CASE-0121"", ""dispute_id"": ""DIS-CASE-0121"", ""status"": ""SUBMITTED"", ""submitted_at"": ""2026-09-05T07:12:58Z"", ""simulated"": true}",DIS-CASE-0121,CASE-0121_CREATE,APR-0007,1616.44,2026-09-05T07:12:58Z
ACT-0016,CASE-0007,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1,"{""case_id"": ""CASE-0007"", ""evidence_ids"": [""EVID-00022"", ""EVID-00023"", ""EVID-00024""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-25 \u2014 \u20b92844.83\n\nOrder ORD-25 (payment PAY-0025) settled \u20b90 against contractual expectation \u20b92844.83 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b92844.83."", ""amount"": 1541.86}","{""draft_id"": ""DRF-CASE-0007"", ""draft"": ""Subject: Settlement discrepancy on ORD-25 \u2014 \u20b92844.83\n\nOrder ORD-25 (payment PAY-0025) settled \u20b90 against contractual expectation \u20b92844.83 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b92844.83.""}",,CASE-0007_DRAFT,,1541.86,2026-09-05T07:12:58Z
ACT-0017,CASE-0007,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3,"{""case_id"": ""CASE-0007"", ""evidence_ids"": [""EVID-00022"", ""EVID-00023"", ""EVID-00024""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-25 \u2014 \u20b92844.83\n\nOrder ORD-25 (payment PAY-0025) settled \u20b90 against contractual expectation \u20b92844.83 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b92844.83."", ""amount"": 1541.86}","{""external_reference"": ""DIS-CASE-0007"", ""dispute_id"": ""DIS-CASE-0007"", ""status"": ""SUBMITTED"", ""submitted_at"": ""2026-09-05T07:12:58Z"", ""simulated"": true}",DIS-CASE-0007,CASE-0007_CREATE,APR-0008,1541.86,2026-09-05T07:12:58Z
ACT-0018,CASE-0130,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1,"{""case_id"": ""CASE-0130"", ""evidence_ids"": [""EVID-00445"", ""EVID-00446"", ""EVID-00447""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-844 \u2014 \u20b91291.07\n\nOrder ORD-844 (payment PAY-0844) settled \u20b90 against contractual expectation \u20b91291.07 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91291.07."", ""amount"": 1291.07}","{""draft_id"": ""DRF-CASE-0130"", ""draft"": ""Subject: Settlement discrepancy on ORD-844 \u2014 \u20b91291.07\n\nOrder ORD-844 (payment PAY-0844) settled \u20b90 against contractual expectation \u20b91291.07 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91291.07.""}",,CASE-0130_DRAFT,,1291.07,2026-09-05T07:12:59Z
ACT-0019,CASE-0130,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3,"{""case_id"": ""CASE-0130"", ""evidence_ids"": [""EVID-00445"", ""EVID-00446"", ""EVID-00447""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-844 \u2014 \u20b91291.07\n\nOrder ORD-844 (payment PAY-0844) settled \u20b90 against contractual expectation \u20b91291.07 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91291.07."", ""amount"": 1291.07}","{""external_reference"": ""DIS-CASE-0130"", ""dispute_id"": ""DIS-CASE-0130"", ""status"": ""SUBMITTED"", ""submitted_at"": ""2026-09-05T07:12:59Z"", ""simulated"": true}",DIS-CASE-0130,CASE-0130_CREATE,APR-0009,1291.07,2026-09-05T07:12:59Z
ACT-0020,CASE-0046,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1,"{""case_id"": ""CASE-0046"", ""evidence_ids"": [""EVID-00157"", ""EVID-00158"", ""EVID-00159""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-231 \u2014 \u20b91253.00\n\nOrder ORD-231 (payment PAY-0231) settled \u20b90 against contractual expectation \u20b91253.0 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91253.00."", ""amount"": 1253.0}","{""draft_id"": ""DRF-CASE-0046"", ""draft"": ""Subject: Settlement discrepancy on ORD-231 \u2014 \u20b91253.00\n\nOrder ORD-231 (payment PAY-0231) settled \u20b90 against contractual expectation \u20b91253.0 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91253.00.""}",,CASE-0046_DRAFT,,1253.0,2026-09-05T07:12:59Z
ACT-0021,CASE-0046,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3,"{""case_id"": ""CASE-0046"", ""evidence_ids"": [""EVID-00157"", ""EVID-00158"", ""EVID-00159""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-231 \u2014 \u20b91253.00\n\nOrder ORD-231 (payment PAY-0231) settled \u20b90 against contractual expectation \u20b91253.0 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91253.00."", ""amount"": 1253.0}","{""external_reference"": ""DIS-CASE-0046"", ""dispute_id"": ""DIS-CASE-0046"", ""status"": ""SUBMITTED"", ""submitted_at"": ""2026-09-05T07:12:59Z"", ""simulated"": true}",DIS-CASE-0046,CASE-0046_CREATE,APR-0010,1253.0,2026-09-05T07:12:59Z
ACT-0022,CASE-0047,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1,"{""case_id"": ""CASE-0047"", ""evidence_ids"": [""EVID-00160"", ""EVID-00161"", ""EVID-00162""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-238 \u2014 \u20b91555.29\n\nOrder ORD-238 (payment PAY-0238) settled \u20b90 against contractual expectation \u20b91555.29 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91555.29."", ""amount"": 1237.65}","{""draft_id"": ""DRF-CASE-0047"", ""draft"": ""Subject: Settlement discrepancy on ORD-238 \u2014 \u20b91555.29\n\nOrder ORD-238 (payment PAY-0238) settled \u20b90 against contractual expectation \u20b91555.29 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91555.29.""}",,CASE-0047_DRAFT,,1237.65,2026-09-05T07:13:00Z
ACT-0023,CASE-0047,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3,"{""case_id"": ""CASE-0047"", ""evidence_ids"": [""EVID-00160"", ""EVID-00161"", ""EVID-00162""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-238 \u2014 \u20b91555.29\n\nOrder ORD-238 (payment PAY-0238) settled \u20b90 against contractual expectation \u20b91555.29 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91555.29."", ""amount"": 1237.65}","{""external_reference"": ""DIS-CASE-0047"", ""dispute_id"": ""DIS-CASE-0047"", ""status"": ""SUBMITTED"", ""submitted_at"": ""2026-09-05T07:13:00Z"", ""simulated"": true}",DIS-CASE-0047,CASE-0047_CREATE,APR-0011,1237.65,2026-09-05T07:13:00Z
ACT-0024,CASE-0081,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1,"{""case_id"": ""CASE-0081"", ""evidence_ids"": [""EVID-00278"", ""EVID-00279"", ""EVID-00280""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-490 \u2014 \u20b91183.71\n\nOrder ORD-490 (payment PAY-0490) settled \u20b90 against contractual expectation \u20b91183.71 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91183.71."", ""amount"": 1183.71}","{""draft_id"": ""DRF-CASE-0081"", ""draft"": ""Subject: Settlement discrepancy on ORD-490 \u2014 \u20b91183.71\n\nOrder ORD-490 (payment PAY-0490) settled \u20b90 against contractual expectation \u20b91183.71 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91183.71.""}",,CASE-0081_DRAFT,,1183.71,2026-09-05T07:13:00Z
ACT-0025,CASE-0081,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3,"{""case_id"": ""CASE-0081"", ""evidence_ids"": [""EVID-00278"", ""EVID-00279"", ""EVID-00280""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-490 \u2014 \u20b91183.71\n\nOrder ORD-490 (payment PAY-0490) settled \u20b90 against contractual expectation \u20b91183.71 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91183.71."", ""amount"": 1183.71}","{""external_reference"": ""DIS-CASE-0081"", ""dispute_id"": ""DIS-CASE-0081"", ""status"": ""SUBMITTED"", ""submitted_at"": ""2026-09-05T07:13:00Z"", ""simulated"": true}",DIS-CASE-0081,CASE-0081_CREATE,APR-0012,1183.71,2026-09-05T07:13:00Z
ACT-0026,CASE-0101,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1,"{""case_id"": ""CASE-0101"", ""evidence_ids"": [""EVID-00346"", ""EVID-00347"", ""EVID-00348""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-668 \u2014 \u20b9958.15\n\nOrder ORD-668 (payment PAY-0668) settled \u20b90 against contractual expectation \u20b9958.15 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b9958.15."", ""amount"": 958.15}","{""draft_id"": ""DRF-CASE-0101"", ""draft"": ""Subject: Settlement discrepancy on ORD-668 \u2014 \u20b9958.15\n\nOrder ORD-668 (payment PAY-0668) settled \u20b90 against contractual expectation \u20b9958.15 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b9958.15.""}",,CASE-0101_DRAFT,,958.15,2026-09-05T07:13:00Z
ACT-0027,CASE-0101,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3,"{""case_id"": ""CASE-0101"", ""evidence_ids"": [""EVID-00346"", ""EVID-00347"", ""EVID-00348""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-668 \u2014 \u20b9958.15\n\nOrder ORD-668 (payment PAY-0668) settled \u20b90 against contractual expectation \u20b9958.15 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b9958.15."", ""amount"": 958.15}","{""external_reference"": ""DIS-CASE-0101"", ""dispute_id"": ""DIS-CASE-0101"", ""status"": ""SUBMIT_FAILED"", ""submitted_at"": ""2026-09-05T07:13:00Z"", ""simulated"": true, ""error"": ""gateway rejected dispute payload""}",DIS-CASE-0101,CASE-0101_CREATE,APR-0013,958.15,2026-09-05T07:13:00Z
ACT-0028,CASE-0145,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1,"{""case_id"": ""CASE-0145"", ""evidence_ids"": [""EVID-00496"", ""EVID-00497"", ""EVID-00498""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-971 \u2014 \u20b91328.14\n\nOrder ORD-971 (payment PAY-0971) settled \u20b90 against contractual expectation \u20b91328.14 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91328.14."", ""amount"": 953.0}","{""draft_id"": ""DRF-CASE-0145"", ""draft"": ""Subject: Settlement discrepancy on ORD-971 \u2014 \u20b91328.14\n\nOrder ORD-971 (payment PAY-0971) settled \u20b90 against contractual expectation \u20b91328.14 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91328.14.""}",,CASE-0145_DRAFT,,953.0,2026-09-05T07:13:01Z
ACT-0029,CASE-0145,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3,"{""case_id"": ""CASE-0145"", ""evidence_ids"": [""EVID-00496"", ""EVID-00497"", ""EVID-00498""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-971 \u2014 \u20b91328.14\n\nOrder ORD-971 (payment PAY-0971) settled \u20b90 against contractual expectation \u20b91328.14 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b91328.14."", ""amount"": 953.0}","{""external_reference"": ""DIS-CASE-0145"", ""dispute_id"": ""DIS-CASE-0145"", ""status"": ""SUBMITTED"", ""submitted_at"": ""2026-09-05T07:13:01Z"", ""simulated"": true}",DIS-CASE-0145,CASE-0145_CREATE,APR-0014,953.0,2026-09-05T07:13:01Z
ACT-0030,CASE-0093,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1,"{""case_id"": ""CASE-0093"", ""evidence_ids"": [""EVID-00316"", ""EVID-00317"", ""EVID-00318""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-623 \u2014 \u20b9876.80\n\nOrder ORD-623 (payment PAY-0623) settled \u20b90 against contractual expectation \u20b9876.8 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b9876.80."", ""amount"": 876.8}","{""draft_id"": ""DRF-CASE-0093"", ""draft"": ""Subject: Settlement discrepancy on ORD-623 \u2014 \u20b9876.80\n\nOrder ORD-623 (payment PAY-0623) settled \u20b90 against contractual expectation \u20b9876.8 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b9876.80.""}",,CASE-0093_DRAFT,,876.8,2026-09-05T07:13:01Z
ACT-0031,CASE-0093,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3,"{""case_id"": ""CASE-0093"", ""evidence_ids"": [""EVID-00316"", ""EVID-00317"", ""EVID-00318""], ""reason"": ""draft the gateway dispute with bound evidence; submission goes through the approval gate"", ""draft_content"": ""Subject: Settlement discrepancy on ORD-623 \u2014 \u20b9876.80\n\nOrder ORD-623 (payment PAY-0623) settled \u20b90 against contractual expectation \u20b9876.8 after rate-card MDR and GST. We request reversal of the unexplained difference of \u20b9876.80."", ""amount"": 876.8}","{""external_reference"": ""DIS-CASE-0093"", ""dispute_id"": ""DIS-CASE-0093"", ""status"": ""SUBMITTED"", ""submitted_at"": ""2026-09-05T07:13:01Z"", ""simulated"": true}",DIS-CASE-0093,CASE-0093_CREATE,APR-0015,876.8,2026-09-05T07:13:01Z
