gt_id,txn_id,order_id,payment_id,has_anomaly,actual_problem,anomaly_type,true_expected_amount,true_actual_amount,true_leakage_amount,true_recoverable,true_recovery_amount,true_root_cause,true_required_evidence,true_best_action,true_deadline,true_should_escalate
GT-0068,TXN-068,ORD-68,PAY-0068,FALSE,,,284.84,284.84,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0069,TXN-069,ORD-69,PAY-0069,FALSE,,,1540.5,1540.5,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0070,TXN-070,ORD-70,PAY-0070,FALSE,,,11240.02,11240.02,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0071,TXN-071,ORD-71,PAY-0071,TRUE,settlement_short on #1071,LEAK-SETTLEMENT-SHORT,1218.03,1159.98,58.05,TRUE,58.05,settlement credited below expected net of contractual fees and taxes,RECON_RESULT|RULE_RESULT|RAW_PAYLOAD,DRAFT_DISPUTE,2025-05-20,FALSE
GT-0072,TXN-072,ORD-72,PAY-0072,FALSE,,,853.54,853.54,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0073,TXN-073,ORD-73,PAY-0073,FALSE,,,5204.29,5204.29,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0074,TXN-074,ORD-74,PAY-0074,TRUE,fee_excess on #1074,LEAK-FEE-EXCESS,1726.07,1723.82,2.25,TRUE,2.25,gateway charged MDR above negotiated rate card beyond tolerance,RECON_RESULT|RULE_RESULT|RATE_CARD,DRAFT_DISPUTE,2025-05-20,FALSE
GT-0075,TXN-075,ORD-75,PAY-0075,FALSE,,,382.3,382.3,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0076,TXN-076,ORD-76,PAY-0076,TRUE,settlement_short on #1076,LEAK-SETTLEMENT-SHORT,622.1,585.3,36.8,TRUE,36.8,settlement credited below expected net of contractual fees and taxes,RECON_RESULT|RULE_RESULT|RAW_PAYLOAD,DRAFT_DISPUTE,2025-05-20,FALSE
GT-0077,TXN-077,ORD-77,PAY-0077,TRUE,settlement_short on #1077,LEAK-SETTLEMENT-SHORT,3083.88,2969.53,114.35,TRUE,114.35,settlement credited below expected net of contractual fees and taxes,RECON_RESULT|RULE_RESULT|RAW_PAYLOAD,CREATE_DISPUTE,2025-05-20,TRUE
GT-0078,TXN-078,ORD-78,PAY-0078,FALSE,,,429.26,429.26,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0079,TXN-079,ORD-79,PAY-0079,FALSE,,,291.94,291.94,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0080,TXN-080,ORD-80,PAY-0080,TRUE,settlement_short on #1080,LEAK-SETTLEMENT-SHORT,2042.83,1906.44,136.39,TRUE,136.39,settlement credited below expected net of contractual fees and taxes,RECON_RESULT|RULE_RESULT|RAW_PAYLOAD,DRAFT_DISPUTE,2025-05-20,FALSE
GT-0081,TXN-081,ORD-81,PAY-0081,FALSE,,,645.41,645.41,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0082,TXN-082,ORD-82,PAY-0082,TRUE,fee_excess on #1082,LEAK-FEE-EXCESS,1378.74,1372.4,6.34,TRUE,6.34,gateway charged MDR above negotiated rate card beyond tolerance,RECON_RESULT|RULE_RESULT|RATE_CARD,DRAFT_DISPUTE,2025-05-20,FALSE
GT-0083,TXN-083,ORD-83,PAY-0083,FALSE,,,3889.73,3889.73,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0084,TXN-084,ORD-84,PAY-0084,FALSE,,,1168.47,1168.47,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0085,TXN-085,ORD-85,PAY-0085,FALSE,,,321.26,321.26,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0086,TXN-086,ORD-86,PAY-0086,FALSE,,,217.56,217.56,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0087,TXN-087,ORD-87,PAY-0087,FALSE,,,2099.48,2099.48,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0088,TXN-088,ORD-88,PAY-0088,FALSE,,,4274.98,4274.98,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0089,TXN-089,ORD-89,PAY-0089,FALSE,,,1909.26,1909.26,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0090,TXN-090,ORD-90,PAY-0090,FALSE,,,1325.03,1325.03,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0091,TXN-091,ORD-91,PAY-0091,TRUE,fee_excess on #1091,LEAK-FEE-EXCESS,2029.62,2026.99,2.63,TRUE,2.63,gateway charged MDR above negotiated rate card beyond tolerance,RECON_RESULT|RULE_RESULT|RATE_CARD,DRAFT_DISPUTE,2025-05-20,FALSE
GT-0092,TXN-092,ORD-92,PAY-0092,FALSE,,,1351.74,1351.74,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0093,TXN-093,ORD-93,PAY-0093,FALSE,,,4987.81,4987.81,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0094,TXN-094,ORD-94,PAY-0094,FALSE,,,522.44,522.44,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0095,TXN-095,ORD-95,PAY-0095,FALSE,,,669.94,669.94,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0096,TXN-096,ORD-96,PAY-0096,FALSE,,,10555.25,10555.25,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0097,TXN-097,ORD-97,PAY-0097,FALSE,,,1497.65,1497.65,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0098,TXN-098,ORD-98,PAY-0098,FALSE,,,1447.07,1447.07,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0099,TXN-099,ORD-99,PAY-0099,FALSE,,,615.35,615.35,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0100,TXN-100,ORD-100,PAY-0100,FALSE,,,2146.44,2146.44,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0101,TXN-101,ORD-101,PAY-0101,TRUE,settlement_short on #1101,LEAK-SETTLEMENT-SHORT,2145.42,2013.77,131.65,TRUE,131.65,settlement credited below expected net of contractual fees and taxes,RECON_RESULT|RULE_RESULT|RAW_PAYLOAD,DRAFT_DISPUTE,2025-05-20,FALSE
GT-0102,TXN-102,ORD-102,PAY-0102,FALSE,,,2417.56,2417.56,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0103,TXN-103,ORD-103,PAY-0103,FALSE,,,3530.11,3530.11,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0104,TXN-104,ORD-104,PAY-0104,TRUE,refund_economics on #1104,LEAK-REFUND-ECONOMICS,517.83,516.34,1.49,TRUE,1.49,gateway did not return MDR fee pro-rata on processed refund,RECON_RESULT|RULE_RESULT|RAW_PAYLOAD,CREATE_DISPUTE,2025-05-20,FALSE
GT-0105,TXN-105,ORD-105,PAY-0105,FALSE,,,443.52,443.52,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0106,TXN-106,ORD-106,PAY-0106,FALSE,,,2507.66,2507.66,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0107,TXN-107,ORD-107,PAY-0107,FALSE,,,899.0,899.0,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0108,TXN-108,ORD-108,PAY-0108,FALSE,,,317.02,317.02,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0109,TXN-109,ORD-109,PAY-0109,FALSE,,,1174.37,1174.37,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0110,TXN-110,ORD-110,PAY-0110,FALSE,,,682.44,682.44,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0111,TXN-111,ORD-111,PAY-0111,FALSE,,,418.5,418.5,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0112,TXN-112,ORD-112,PAY-0112,FALSE,,,1749.42,1749.42,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0113,TXN-113,ORD-113,PAY-0113,FALSE,,,992.83,992.83,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0114,TXN-114,ORD-114,PAY-0114,FALSE,,,1470.36,1470.36,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0115,TXN-115,ORD-115,PAY-0115,FALSE,,,848.41,848.41,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0116,TXN-116,ORD-116,PAY-0116,FALSE,,,343.09,343.09,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0117,TXN-117,ORD-117,PAY-0117,FALSE,,,1899.21,1899.21,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0118,TXN-118,ORD-118,PAY-0118,TRUE,refund_economics on #1118,LEAK-REFUND-ECONOMICS,210.43,208.66,1.77,TRUE,1.77,gateway did not return MDR fee pro-rata on processed refund,RECON_RESULT|RULE_RESULT|RAW_PAYLOAD,CREATE_DISPUTE,2025-05-20,FALSE
GT-0119,TXN-119,ORD-119,PAY-0119,FALSE,,,2257.96,2257.96,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0120,TXN-120,ORD-120,PAY-0120,FALSE,,,4187.33,4187.33,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0121,TXN-121,ORD-121,PAY-0121,FALSE,,,943.41,943.41,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0122,TXN-122,ORD-122,PAY-0122,FALSE,,,1478.71,1478.71,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0123,TXN-123,ORD-123,PAY-0123,FALSE,,,592.16,592.16,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0124,TXN-124,ORD-124,PAY-0124,FALSE,,,1011.31,1011.31,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0125,TXN-125,ORD-125,PAY-0125,FALSE,,,5771.48,5771.48,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0126,TXN-126,ORD-126,PAY-0126,TRUE,missing_settlement on #1126,LEAK-MISSING-SETTLEMENT,792.3,0,792.3,TRUE,792.3,payment captured but settlement never issued; funds held at gateway,RECON_RESULT|RULE_RESULT|RAW_PAYLOAD,CREATE_DISPUTE,2025-05-20,TRUE
GT-0127,TXN-127,ORD-127,PAY-0127,FALSE,,,670.29,670.29,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0128,TXN-128,ORD-128,PAY-0128,FALSE,,,490.35,490.35,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0129,TXN-129,ORD-129,PAY-0129,TRUE,settlement_short on #1129,LEAK-SETTLEMENT-SHORT,1494.11,1392.38,101.73,TRUE,101.73,settlement credited below expected net of contractual fees and taxes,RECON_RESULT|RULE_RESULT|RAW_PAYLOAD,DRAFT_DISPUTE,2025-05-20,FALSE
GT-0130,TXN-130,ORD-130,PAY-0130,FALSE,,,1509.06,1509.06,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0131,TXN-131,ORD-131,PAY-0131,FALSE,,,1273.33,1273.33,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0132,TXN-132,ORD-132,PAY-0132,FALSE,,,533.23,533.23,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0133,TXN-133,ORD-133,PAY-0133,FALSE,,,1933.66,1933.66,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0134,TXN-134,ORD-134,PAY-0134,FALSE,,,369.8,369.8,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0135,TXN-135,ORD-135,,FALSE,,,0.0,0,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0136,TXN-136,ORD-136,PAY-0136,FALSE,,,317.36,317.36,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0137,TXN-137,ORD-137,PAY-0137,TRUE,refund_economics on #1137,LEAK-REFUND-ECONOMICS,203.38,201.3,2.08,TRUE,2.08,gateway did not return MDR fee pro-rata on processed refund,RECON_RESULT|RULE_RESULT|RAW_PAYLOAD,CREATE_DISPUTE,2025-05-20,FALSE
GT-0138,TXN-138,ORD-138,PAY-0138,TRUE,missing_settlement on #1138,LEAK-MISSING-SETTLEMENT,2092.88,0,2092.88,TRUE,2092.88,payment captured but settlement never issued; funds held at gateway,RECON_RESULT|RULE_RESULT|RAW_PAYLOAD,CREATE_DISPUTE,2025-05-20,TRUE
GT-0139,TXN-139,ORD-139,PAY-0139,FALSE,,,458.76,458.76,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0140,TXN-140,ORD-140,PAY-0140,TRUE,missing_settlement on #1140,LEAK-MISSING-SETTLEMENT,571.83,0,571.83,TRUE,571.83,payment captured but settlement never issued; funds held at gateway,RECON_RESULT|RULE_RESULT|RAW_PAYLOAD,CREATE_DISPUTE,2025-05-20,TRUE
GT-0141,TXN-141,ORD-141,PAY-0141,FALSE,,,2844.73,2844.73,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0142,TXN-142,ORD-142,PAY-0142,FALSE,,,579.63,579.63,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0143,TXN-143,ORD-143,PAY-0143,TRUE,fee_excess on #1143,LEAK-FEE-EXCESS,2016.28,1994.47,21.81,TRUE,21.81,gateway charged MDR above negotiated rate card beyond tolerance,RECON_RESULT|RULE_RESULT|RATE_CARD,DRAFT_DISPUTE,2025-05-20,FALSE
GT-0144,TXN-144,ORD-144,PAY-0144,FALSE,,,1781.73,1781.73,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0145,TXN-145,ORD-145,PAY-0145,FALSE,,,341.44,341.44,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0146,TXN-146,ORD-146,PAY-0146,FALSE,,,839.11,839.11,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0147,TXN-147,ORD-147,PAY-0147,FALSE,,,848.18,848.18,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0148,TXN-148,ORD-148,PAY-0148,FALSE,,,773.48,773.48,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0149,TXN-149,ORD-149,PAY-0149,FALSE,,,1643.51,1643.51,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0150,TXN-150,ORD-150,PAY-0150,FALSE,,,599.5,599.5,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0151,TXN-151,ORD-151,PAY-0151,FALSE,,,409.32,409.32,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0152,TXN-152,ORD-152,PAY-0152,FALSE,,,1735.17,1735.17,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0153,TXN-153,ORD-153,PAY-0153,FALSE,,,1306.09,1306.09,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0154,TXN-154,ORD-154,PAY-0154,FALSE,,,1256.15,1256.15,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0155,TXN-155,ORD-155,PAY-0155,FALSE,,,290.7,290.7,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0156,TXN-156,ORD-156,PAY-0156,FALSE,,,754.4,754.4,0.0,FALSE,0.0,,,,2025-05-20,FALSE
GT-0157,TXN-157,ORD-157,PAY-0157,TRUE,missing_settlement on #1157,LEAK-MISSING-SETTLEMENT,814.95,0,814.95,TRUE,814.95,payment captured but settlement never issued; funds held at gateway,RECON_RESULT|RULE_RESULT|RAW_PAYLOAD,CREATE_DISPUTE,2025-05-20,TRUE
GT-0158,TXN-158,ORD-158,PAY-0158,FALSE,,,6940.54,6940.54,0.0,FALSE,0.0,,,,2025-05-20,FALSE
