anomaly_id,recon_result_id,order_id,payment_id,category,detection_rule,detected_amount,variance_class,severity,explanation,candidate_root_causes,detected_at
anm-00016,,ORD-65,PAY-0065,FEE_DISCREPANCY,FR-FEE-EXCESS-001,13.9,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00017,,ORD-71,PAY-0071,SETTLEMENT_MISMATCH,FR-SETTLE-CALC-001,58.05,LEAKAGE,MEDIUM,settlement short beyond tolerance,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00018,,ORD-74,PAY-0074,FEE_DISCREPANCY,FR-FEE-EXCESS-001,2.65,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00019,,ORD-76,PAY-0076,SETTLEMENT_MISMATCH,FR-SETTLE-CALC-001,36.8,LEAKAGE,MEDIUM,settlement short beyond tolerance,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00020,,ORD-77,PAY-0077,SETTLEMENT_MISMATCH,FR-SETTLE-CALC-001,114.35,LEAKAGE,MEDIUM,settlement short beyond tolerance,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00021,,ORD-80,PAY-0080,SETTLEMENT_MISMATCH,FR-SETTLE-CALC-001,136.39,LEAKAGE,MEDIUM,settlement short beyond tolerance,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00022,,ORD-82,PAY-0082,FEE_DISCREPANCY,FR-FEE-EXCESS-001,7.48,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00023,,ORD-91,PAY-0091,FEE_DISCREPANCY,FR-FEE-EXCESS-001,3.1,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00024,,ORD-101,PAY-0101,FEE_DISCREPANCY,FR-FEE-EXCESS-001,6.04,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00025,,ORD-101,PAY-0101,SETTLEMENT_MISMATCH,FR-SETTLE-CALC-001,125.61,LEAKAGE,MEDIUM,settlement short beyond tolerance,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00026,,ORD-118,PAY-0118,FEE_DISCREPANCY,FR-FEE-EXCESS-001,1.42,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00027,,ORD-126,PAY-0126,SETTLEMENT_MISMATCH,FR-SETTLE-TIMING-001,792.3,LEAKAGE,HIGH,settlement never issued,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00028,,ORD-129,PAY-0129,SETTLEMENT_MISMATCH,FR-SETTLE-CALC-001,101.73,LEAKAGE,MEDIUM,settlement short beyond tolerance,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00029,,ORD-137,PAY-0137,REFUND_ECONOMICS,FR-REFUND-ECON-001,2.08,LEAKAGE,MEDIUM,fee not returned pro-rata on processed refund,f|e|e| |n|o|t| |r|e|t|u|r|n|e|d| |p|r|o|-|r|a|t|a|||o|v|e|r|-|r|e|f|u|n|d|||r|e|f|u|n|d| |n|o|t| |p|r|o|c|e|s|s|e|d,2025-04-05T00:00:00Z
anm-00030,,ORD-138,PAY-0138,SETTLEMENT_MISMATCH,FR-SETTLE-TIMING-001,2092.88,LEAKAGE,HIGH,settlement never issued,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00031,,ORD-140,PAY-0140,SETTLEMENT_MISMATCH,FR-SETTLE-TIMING-001,571.83,LEAKAGE,HIGH,settlement never issued,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00032,,ORD-143,PAY-0143,FEE_DISCREPANCY,FR-FEE-EXCESS-001,25.74,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00033,,ORD-157,PAY-0157,SETTLEMENT_MISMATCH,FR-SETTLE-TIMING-001,814.95,LEAKAGE,HIGH,settlement never issued,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00034,,ORD-161,PAY-0161,FEE_DISCREPANCY,FR-FEE-EXCESS-001,11.36,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00035,,ORD-164,PAY-0164,FEE_DISCREPANCY,FR-FEE-EXCESS-001,2.78,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00036,,ORD-164,PAY-0164,SETTLEMENT_MISMATCH,FR-SETTLE-CALC-001,7.78,LEAKAGE,MEDIUM,settlement short beyond tolerance,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00037,,ORD-168,PAY-0168,SETTLEMENT_MISMATCH,FR-SETTLE-CALC-001,5.45,LEAKAGE,MEDIUM,settlement short beyond tolerance,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00038,,ORD-173,PAY-0173,REFUND_ECONOMICS,FR-REFUND-ECON-001,6.39,LEAKAGE,MEDIUM,fee not returned pro-rata on processed refund,f|e|e| |n|o|t| |r|e|t|u|r|n|e|d| |p|r|o|-|r|a|t|a|||o|v|e|r|-|r|e|f|u|n|d|||r|e|f|u|n|d| |n|o|t| |p|r|o|c|e|s|s|e|d,2025-04-05T00:00:00Z
anm-00039,,ORD-176,PAY-0176,REFUND_ECONOMICS,FR-REFUND-ECON-001,33.66,LEAKAGE,MEDIUM,fee not returned pro-rata on processed refund,f|e|e| |n|o|t| |r|e|t|u|r|n|e|d| |p|r|o|-|r|a|t|a|||o|v|e|r|-|r|e|f|u|n|d|||r|e|f|u|n|d| |n|o|t| |p|r|o|c|e|s|s|e|d,2025-04-05T00:00:00Z
anm-00040,,ORD-178,PAY-0178,FEE_DISCREPANCY,FR-FEE-EXCESS-001,23.82,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00041,,ORD-179,PAY-0179,SETTLEMENT_MISMATCH,FR-SETTLE-CALC-001,119.5,LEAKAGE,MEDIUM,settlement short beyond tolerance,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00042,,ORD-182,PAY-0182,SETTLEMENT_MISMATCH,FR-SETTLE-CALC-001,300.05,LEAKAGE,MEDIUM,settlement short beyond tolerance,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00043,,ORD-188,PAY-0188,SETTLEMENT_MISMATCH,FR-SETTLE-TIMING-001,291.94,LEAKAGE,MEDIUM,settlement never issued,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00044,,ORD-196,PAY-0196,SETTLEMENT_MISMATCH,FR-SETTLE-TIMING-001,550.24,LEAKAGE,HIGH,settlement never issued,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00045,,ORD-201,PAY-0201,FEE_DISCREPANCY,FR-FEE-EXCESS-001,7.58,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00046,,ORD-209,PAY-0209,SETTLEMENT_MISMATCH,FR-SETTLE-CALC-001,129.59,LEAKAGE,MEDIUM,settlement short beyond tolerance,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00047,,ORD-219,PAY-0219,FEE_DISCREPANCY,FR-FEE-EXCESS-001,2.17,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00048,,ORD-231,PAY-0231,SETTLEMENT_MISMATCH,FR-SETTLE-TIMING-001,1253.0,LEAKAGE,HIGH,settlement never issued,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00049,,ORD-238,PAY-0238,SETTLEMENT_MISMATCH,FR-SETTLE-TIMING-001,1237.65,LEAKAGE,HIGH,settlement never issued,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00050,,ORD-268,PAY-0268,SETTLEMENT_MISMATCH,FR-SETTLE-CALC-001,106.19,LEAKAGE,MEDIUM,settlement short beyond tolerance,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00051,,ORD-269,PAY-0269,REFUND_ECONOMICS,FR-REFUND-ECON-001,2.1,LEAKAGE,MEDIUM,fee not returned pro-rata on processed refund,f|e|e| |n|o|t| |r|e|t|u|r|n|e|d| |p|r|o|-|r|a|t|a|||o|v|e|r|-|r|e|f|u|n|d|||r|e|f|u|n|d| |n|o|t| |p|r|o|c|e|s|s|e|d,2025-04-05T00:00:00Z
anm-00052,,ORD-273,PAY-0273,FEE_DISCREPANCY,FR-FEE-EXCESS-001,4.07,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00053,,ORD-280,PAY-0280,FEE_DISCREPANCY,FR-FEE-EXCESS-001,7.07,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00054,,ORD-282,PAY-0282,SETTLEMENT_MISMATCH,FR-SETTLE-CALC-001,292.62,LEAKAGE,MEDIUM,settlement short beyond tolerance,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00055,,ORD-288,PAY-0288,FEE_DISCREPANCY,FR-FEE-EXCESS-001,21.25,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00056,,ORD-291,PAY-0291,FEE_DISCREPANCY,FR-FEE-EXCESS-001,7.38,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00057,,ORD-294,PAY-0294,SETTLEMENT_MISMATCH,FR-SETTLE-TIMING-001,310.74,LEAKAGE,MEDIUM,settlement never issued,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00058,,ORD-301,PAY-0301,REFUND_ECONOMICS,FR-REFUND-ECON-001,41.45,LEAKAGE,MEDIUM,fee not returned pro-rata on processed refund,f|e|e| |n|o|t| |r|e|t|u|r|n|e|d| |p|r|o|-|r|a|t|a|||o|v|e|r|-|r|e|f|u|n|d|||r|e|f|u|n|d| |n|o|t| |p|r|o|c|e|s|s|e|d,2025-04-05T00:00:00Z
anm-00059,,ORD-304,PAY-0304,FEE_DISCREPANCY,FR-FEE-EXCESS-001,5.11,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00060,,ORD-316,PAY-0316,SETTLEMENT_MISMATCH,FR-SETTLE-CALC-001,175.78,LEAKAGE,MEDIUM,settlement short beyond tolerance,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
anm-00061,,ORD-330,PAY-0330,FEE_DISCREPANCY,FR-FEE-EXCESS-001,1.25,LEAKAGE,MEDIUM,fee charged above rate card beyond tolerance,r|a|t|e| |c|a|r|d| |m|i|s|a|p|p|l|i|e|d|||d|u|p|l|i|c|a|t|e| |f|e|e| |e|v|e|n|t|||i|n|s|t|r|u|m|e|n|t| |s|u|r|c|h|a|r|g|e| |n|o|t| |c|o|n|t|r|a|c|t|e|d,2025-04-05T00:00:00Z
anm-00062,,ORD-345,PAY-0345,SETTLEMENT_MISMATCH,FR-SETTLE-CALC-001,35.42,LEAKAGE,MEDIUM,settlement short beyond tolerance,s|e|t|t|l|e|m|e|n|t| |a|m|o|u|n|t| |s|h|o|r|t|||s|e|t|t|l|e|m|e|n|t| |m|i|s|s|i|n|g|||b|a|n|k| |c|r|e|d|i|t| |m|i|s|m|a|t|c|h,2025-04-05T00:00:00Z
