audit_id,case_id,actor,event_type,tool_called,tool_parameters,tool_result,decision,previous_state,new_state,amount,evidence_ids,approval_id,correlation_id,prev_hash,entry_hash,created_at
AUD-00011,CASE-0029,AGENT,INVESTIGATE,get_order|get_settlement|get_bank_transaction,"{""order_id"": ""ORD-138"", ""payment_id"": ""PAY-0138""}","{""settlements_found"": 0, ""bank_found"": false}",financial neighborhood assembled,,,0,EVID-00099|EVID-00100|EVID-00101,,CORR-CASE-0029,637148f8b195cbd7,8ea5e1d1584ab3de,2025-04-05T00:00:00Z
AUD-00012,CASE-0029,AGENT,REASON,calculate_variance|check_contract|check_deadline|check_duplicate_claim,"{""case_id"": ""CASE-0029""}","{""variance"": 2092.88, ""unexplained"": ""2092.88"", ""violations"": 1, ""deadline_state"": ""OPEN"", ""is_duplicate"": false}",root cause candidates: SETTLEMENT_MISMATCH,,,0,EVID-00099|EVID-00100|EVID-00101,,CORR-CASE-0029,8ea5e1d1584ab3de,6cf55fa120c00761,2025-04-05T00:00:00Z
AUD-00013,CASE-0029,AGENT,PLAN,,"{""allowed"": [""DRAFT_DISPUTE"", ""CREATE_DISPUTE"", ""NOTIFY_GATEWAY"", ""FINANCE_REVIEW"", ""ESCALATE""]}","{""planned"": ""DRAFT_DISPUTE""}",planned action: DRAFT_DISPUTE,,,0,EVID-00099|EVID-00100|EVID-00101,,CORR-CASE-0029,6cf55fa120c00761,09b1842a8c6cae5f,2025-04-05T00:00:00Z
AUD-00014,CASE-0029,AGENT,ACT,draft_dispute,{},"{""draft_id"": ""DRF-CASE-0029""}",dispute drafted (L1 automatic),,,2092.88,EVID-00099|EVID-00100|EVID-00101,,CORR-CASE-0029,09b1842a8c6cae5f,5d7afb4f236f0659,2025-04-05T00:00:00Z
AUD-00015,CASE-0029,AGENT,APPROVAL_REQUEST,,"{""action"": ""CREATE_DISPUTE"", ""risk"": ""L3_FINANCIAL""}",{},requested approval for CREATE_DISPUTE,,PENDING_APPROVAL,2092.88,EVID-00099|EVID-00100|EVID-00101,APR-0002,CORR-CASE-0029,5d7afb4f236f0659,104e651afcc47432,2025-04-05T00:00:00Z
AUD-00016,CASE-0029,HUMAN,APPROVAL_DECISION,,{},{},approved CREATE_DISPUTE,,ACTING,0,EVID-00099|EVID-00100|EVID-00101,APR-0002,CORR-CASE-0029,104e651afcc47432,d993af47e5d344b8,2025-04-05T00:00:00Z
AUD-00017,CASE-0029,AGENT,ACT,create_dispute,"{""case_id"": ""CASE-0029""}","{""ok"": true, ""k"": [""dispute_id"", ""status""]}",executed CREATE_DISPUTE,,ACTING,2092.88,EVID-00099|EVID-00100|EVID-00101,APR-0002,CORR-CASE-0029,d993af47e5d344b8,d6446154dfe2ec3b,2025-04-05T00:00:00Z
AUD-00018,CASE-0029,SERVICE,VERIFY,check_dispute_status|check_recovery,{},"{""status"": ""FINANCIAL_EFFECT_DETECTED"", ""recovered"": 1255.73}",verification recorded,,VERIFYING,1255.73,EVID-00099|EVID-00100|EVID-00101,,CORR-CASE-0029,d6446154dfe2ec3b,24ec12919a6f6004,2025-04-05T00:00:00Z
AUD-00019,CASE-0061,AGENT,OBSERVE,get_case_history,"{""case_id"": ""CASE-0061""}",{},case loaded,,INVESTIGATING,0,EVID-00208|EVID-00209|EVID-00210,,CORR-CASE-0061,GENESIS,e3dcbb8bf59d5af8,2025-04-05T00:00:00Z
AUD-00020,CASE-0061,AGENT,INVESTIGATE,get_order|get_settlement|get_bank_transaction,"{""order_id"": ""ORD-346"", ""payment_id"": ""PAY-0346""}","{""settlements_found"": 0, ""bank_found"": false}",financial neighborhood assembled,,,0,EVID-00208|EVID-00209|EVID-00210,,CORR-CASE-0061,e3dcbb8bf59d5af8,fe09650243856809,2025-04-05T00:00:00Z
AUD-00021,CASE-0061,AGENT,REASON,calculate_variance|check_contract|check_deadline|check_duplicate_claim,"{""case_id"": ""CASE-0061""}","{""variance"": 2058.75, ""unexplained"": ""2058.75"", ""violations"": 1, ""deadline_state"": ""OPEN"", ""is_duplicate"": false}",root cause candidates: SETTLEMENT_MISMATCH,,,0,EVID-00208|EVID-00209|EVID-00210,,CORR-CASE-0061,fe09650243856809,94192ce98c35e7f1,2025-04-05T00:00:00Z
AUD-00022,CASE-0061,AGENT,PLAN,,"{""allowed"": [""DRAFT_DISPUTE"", ""CREATE_DISPUTE"", ""NOTIFY_GATEWAY"", ""FINANCE_REVIEW"", ""ESCALATE""]}","{""planned"": ""DRAFT_DISPUTE""}",planned action: DRAFT_DISPUTE,,,0,EVID-00208|EVID-00209|EVID-00210,,CORR-CASE-0061,94192ce98c35e7f1,ef35409e30333deb,2025-04-05T00:00:00Z
AUD-00023,CASE-0061,AGENT,ACT,draft_dispute,{},"{""draft_id"": ""DRF-CASE-0061""}",dispute drafted (L1 automatic),,,2058.75,EVID-00208|EVID-00209|EVID-00210,,CORR-CASE-0061,ef35409e30333deb,df51b2c0d280bf66,2025-04-05T00:00:00Z
AUD-00024,CASE-0061,AGENT,APPROVAL_REQUEST,,"{""action"": ""CREATE_DISPUTE"", ""risk"": ""L3_FINANCIAL""}",{},requested approval for CREATE_DISPUTE,,PENDING_APPROVAL,2058.75,EVID-00208|EVID-00209|EVID-00210,APR-0003,CORR-CASE-0061,df51b2c0d280bf66,b356a650468f7c50,2025-04-05T00:00:00Z
AUD-00025,CASE-0061,HUMAN,APPROVAL_DECISION,,{},{},approved CREATE_DISPUTE,,ACTING,0,EVID-00208|EVID-00209|EVID-00210,APR-0003,CORR-CASE-0061,b356a650468f7c50,018cf2f3b48f4563,2025-04-05T00:00:00Z
AUD-00026,CASE-0061,AGENT,ACT,create_dispute,"{""case_id"": ""CASE-0061""}","{""ok"": true, ""k"": [""dispute_id"", ""status""]}",executed CREATE_DISPUTE,,ACTING,2058.75,EVID-00208|EVID-00209|EVID-00210,APR-0003,CORR-CASE-0061,018cf2f3b48f4563,208d5400d11d5fd2,2025-04-05T00:00:00Z
AUD-00027,CASE-0061,SERVICE,VERIFY,check_dispute_status|check_recovery,{},"{""status"": ""IN_PROGRESS"", ""recovered"": 0.0}",verification recorded,,VERIFYING,0,EVID-00208|EVID-00209|EVID-00210,,CORR-CASE-0061,208d5400d11d5fd2,56bf5c9b76acc6ce,2025-04-05T00:00:00Z
AUD-00028,CASE-0117,AGENT,OBSERVE,get_case_history,"{""case_id"": ""CASE-0117""}",{},case loaded,,INVESTIGATING,0,EVID-00401|EVID-00402|EVID-00403,,CORR-CASE-0117,GENESIS,f7eee6dac0cfae07,2025-04-05T00:00:00Z
AUD-00029,CASE-0117,AGENT,INVESTIGATE,get_order|get_settlement|get_bank_transaction,"{""order_id"": ""ORD-773"", ""payment_id"": ""PAY-0773""}","{""settlements_found"": 0, ""bank_found"": false}",financial neighborhood assembled,,,0,EVID-00401|EVID-00402|EVID-00403,,CORR-CASE-0117,f7eee6dac0cfae07,1240157bf1eb0a86,2025-04-05T00:00:00Z
AUD-00030,CASE-0117,AGENT,REASON,calculate_variance|check_contract|check_deadline|check_duplicate_claim,"{""case_id"": ""CASE-0117""}","{""variance"": 3632.03, ""unexplained"": ""1988.32"", ""violations"": 1, ""deadline_state"": ""OPEN"", ""is_duplicate"": false}",root cause candidates: SETTLEMENT_MISMATCH,,,0,EVID-00401|EVID-00402|EVID-00403,,CORR-CASE-0117,1240157bf1eb0a86,b84ea28b03992de0,2025-04-05T00:00:00Z
AUD-00031,CASE-0117,AGENT,PLAN,,"{""allowed"": [""DRAFT_DISPUTE"", ""CREATE_DISPUTE"", ""NOTIFY_GATEWAY"", ""FINANCE_REVIEW"", ""ESCALATE""]}","{""planned"": ""DRAFT_DISPUTE""}",planned action: DRAFT_DISPUTE,,,0,EVID-00401|EVID-00402|EVID-00403,,CORR-CASE-0117,b84ea28b03992de0,ce4567a5589f697f,2025-04-05T00:00:00Z
AUD-00032,CASE-0117,AGENT,ACT,draft_dispute,{},"{""draft_id"": ""DRF-CASE-0117""}",dispute drafted (L1 automatic),,,1988.32,EVID-00401|EVID-00402|EVID-00403,,CORR-CASE-0117,ce4567a5589f697f,f7f96084589679c6,2025-04-05T00:00:00Z
AUD-00033,CASE-0117,AGENT,APPROVAL_REQUEST,,"{""action"": ""CREATE_DISPUTE"", ""risk"": ""L3_FINANCIAL""}",{},requested approval for CREATE_DISPUTE,,PENDING_APPROVAL,1988.32,EVID-00401|EVID-00402|EVID-00403,APR-0004,CORR-CASE-0117,f7f96084589679c6,eab29a95fd84373e,2025-04-05T00:00:00Z
AUD-00034,CASE-0117,HUMAN,APPROVAL_DECISION,,{},{},approved CREATE_DISPUTE,,ACTING,0,EVID-00401|EVID-00402|EVID-00403,APR-0004,CORR-CASE-0117,eab29a95fd84373e,5fb2a23cccd0d8fa,2025-04-05T00:00:00Z
AUD-00035,CASE-0117,AGENT,ACT,create_dispute,"{""case_id"": ""CASE-0117""}","{""ok"": true, ""k"": [""dispute_id"", ""status""]}",executed CREATE_DISPUTE,,ACTING,1988.32,EVID-00401|EVID-00402|EVID-00403,APR-0004,CORR-CASE-0117,5fb2a23cccd0d8fa,7140a6f6dc7f3901,2025-04-05T00:00:00Z
AUD-00036,CASE-0117,SERVICE,VERIFY,check_dispute_status|check_recovery,{},"{""status"": ""RECOVERY_VERIFIED"", ""recovered"": 1988.32}",verification recorded,,VERIFYING,1988.32,EVID-00401|EVID-00402|EVID-00403,,CORR-CASE-0117,7140a6f6dc7f3901,f82d2419d22ef22f,2025-04-05T00:00:00Z
AUD-00037,CASE-0143,AGENT,OBSERVE,get_case_history,"{""case_id"": ""CASE-0143""}",{},case loaded,,INVESTIGATING,0,EVID-00490|EVID-00491|EVID-00492,,CORR-CASE-0143,GENESIS,e0a7c42437474cbe,2025-04-05T00:00:00Z
AUD-00038,CASE-0143,AGENT,INVESTIGATE,get_order|get_settlement|get_bank_transaction,"{""order_id"": ""ORD-952"", ""payment_id"": ""PAY-0952""}","{""settlements_found"": 0, ""bank_found"": false}",financial neighborhood assembled,,,0,EVID-00490|EVID-00491|EVID-00492,,CORR-CASE-0143,e0a7c42437474cbe,785e7f1c3eeadb3e,2025-04-05T00:00:00Z
AUD-00039,CASE-0143,AGENT,REASON,calculate_variance|check_contract|check_deadline|check_duplicate_claim,"{""case_id"": ""CASE-0143""}","{""variance"": 3949.51, ""unexplained"": ""1980.46"", ""violations"": 1, ""deadline_state"": ""OPEN"", ""is_duplicate"": false}",root cause candidates: SETTLEMENT_MISMATCH,,,0,EVID-00490|EVID-00491|EVID-00492,,CORR-CASE-0143,785e7f1c3eeadb3e,695e545ea9e18879,2025-04-05T00:00:00Z
AUD-00040,CASE-0143,AGENT,PLAN,,"{""allowed"": [""DRAFT_DISPUTE"", ""CREATE_DISPUTE"", ""NOTIFY_GATEWAY"", ""FINANCE_REVIEW"", ""ESCALATE""]}","{""planned"": ""DRAFT_DISPUTE""}",planned action: DRAFT_DISPUTE,,,0,EVID-00490|EVID-00491|EVID-00492,,CORR-CASE-0143,695e545ea9e18879,6d3c4d76f21f08ad,2025-04-05T00:00:00Z
AUD-00041,CASE-0143,AGENT,ACT,draft_dispute,{},"{""draft_id"": ""DRF-CASE-0143""}",dispute drafted (L1 automatic),,,1980.46,EVID-00490|EVID-00491|EVID-00492,,CORR-CASE-0143,6d3c4d76f21f08ad,c20edb3ccbb6b4c9,2025-04-05T00:00:00Z
AUD-00042,CASE-0143,AGENT,APPROVAL_REQUEST,,"{""action"": ""CREATE_DISPUTE"", ""risk"": ""L3_FINANCIAL""}",{},requested approval for CREATE_DISPUTE,,PENDING_APPROVAL,1980.46,EVID-00490|EVID-00491|EVID-00492,APR-0005,CORR-CASE-0143,c20edb3ccbb6b4c9,367297e5be6829db,2025-04-05T00:00:00Z
AUD-00043,CASE-0143,HUMAN,APPROVAL_DECISION,,{},{},approved CREATE_DISPUTE,,ACTING,0,EVID-00490|EVID-00491|EVID-00492,APR-0005,CORR-CASE-0143,367297e5be6829db,4757e7e8d6bec2c6,2025-04-05T00:00:00Z
AUD-00044,CASE-0143,AGENT,ACT,create_dispute,"{""case_id"": ""CASE-0143""}","{""ok"": true, ""k"": [""dispute_id"", ""status""]}",executed CREATE_DISPUTE,,ACTING,1980.46,EVID-00490|EVID-00491|EVID-00492,APR-0005,CORR-CASE-0143,4757e7e8d6bec2c6,bad050e7fe8daf53,2025-04-05T00:00:00Z
AUD-00045,CASE-0143,SERVICE,VERIFY,check_dispute_status|check_recovery,{},"{""status"": ""RECOVERY_VERIFIED"", ""recovered"": 1980.46}",verification recorded,,VERIFYING,1980.46,EVID-00490|EVID-00491|EVID-00492,,CORR-CASE-0143,bad050e7fe8daf53,b693dcf1fb3eb9fc,2025-04-05T00:00:00Z
AUD-00046,CASE-0004,AGENT,OBSERVE,get_case_history,"{""case_id"": ""CASE-0004""}",{},case loaded,,INVESTIGATING,0,EVID-00013|EVID-00014|EVID-00015,,CORR-CASE-0004,GENESIS,378bf6da7079ee7c,2025-04-05T00:00:00Z
AUD-00047,CASE-0004,AGENT,INVESTIGATE,get_order|get_settlement|get_bank_transaction,"{""order_id"": ""ORD-12"", ""payment_id"": ""PAY-0012""}","{""settlements_found"": 0, ""bank_found"": false}",financial neighborhood assembled,,,0,EVID-00013|EVID-00014|EVID-00015,,CORR-CASE-0004,378bf6da7079ee7c,45f2607bb75b21e1,2025-04-05T00:00:00Z
AUD-00048,CASE-0004,AGENT,REASON,calculate_variance|check_contract|check_deadline|check_duplicate_claim,"{""case_id"": ""CASE-0004""}","{""variance"": 1945.43, ""unexplained"": ""1945.43"", ""violations"": 1, ""deadline_state"": ""OPEN"", ""is_duplicate"": false}",root cause candidates: SETTLEMENT_MISMATCH,,,0,EVID-00013|EVID-00014|EVID-00015,,CORR-CASE-0004,45f2607bb75b21e1,e8304d1062848aa3,2025-04-05T00:00:00Z
AUD-00049,CASE-0004,AGENT,PLAN,,"{""allowed"": [""DRAFT_DISPUTE"", ""CREATE_DISPUTE"", ""NOTIFY_GATEWAY"", ""FINANCE_REVIEW"", ""ESCALATE""]}","{""planned"": ""DRAFT_DISPUTE""}",planned action: DRAFT_DISPUTE,,,0,EVID-00013|EVID-00014|EVID-00015,,CORR-CASE-0004,e8304d1062848aa3,6f4b33dc9b53b741,2025-04-05T00:00:00Z
AUD-00050,CASE-0004,AGENT,ACT,draft_dispute,{},"{""draft_id"": ""DRF-CASE-0004""}",dispute drafted (L1 automatic),,,1945.43,EVID-00013|EVID-00014|EVID-00015,,CORR-CASE-0004,6f4b33dc9b53b741,f637e342013b9928,2025-04-05T00:00:00Z
AUD-00051,CASE-0004,AGENT,APPROVAL_REQUEST,,"{""action"": ""CREATE_DISPUTE"", ""risk"": ""L3_FINANCIAL""}",{},requested approval for CREATE_DISPUTE,,PENDING_APPROVAL,1945.43,EVID-00013|EVID-00014|EVID-00015,APR-0006,CORR-CASE-0004,f637e342013b9928,fb16d410502e19a6,2025-04-05T00:00:00Z
AUD-00052,CASE-0004,HUMAN,APPROVAL_DECISION,,{},{},approved CREATE_DISPUTE,,ACTING,0,EVID-00013|EVID-00014|EVID-00015,APR-0006,CORR-CASE-0004,fb16d410502e19a6,6e4fd23238b970df,2025-04-05T00:00:00Z
AUD-00053,CASE-0004,AGENT,ACT,create_dispute,"{""case_id"": ""CASE-0004""}","{""ok"": true, ""k"": [""dispute_id"", ""status""]}",executed CREATE_DISPUTE,,ACTING,1945.43,EVID-00013|EVID-00014|EVID-00015,APR-0006,CORR-CASE-0004,6e4fd23238b970df,5e30daa03c149d52,2025-04-05T00:00:00Z
AUD-00054,CASE-0004,SERVICE,VERIFY,check_dispute_status|check_recovery,{},"{""status"": ""RECOVERY_VERIFIED"", ""recovered"": 1945.43}",verification recorded,,VERIFYING,1945.43,EVID-00013|EVID-00014|EVID-00015,,CORR-CASE-0004,5e30daa03c149d52,56b5d6ccbfee3444,2025-04-05T00:00:00Z
AUD-00055,CASE-0108,AGENT,OBSERVE,get_case_history,"{""case_id"": ""CASE-0108""}",{},case loaded,,INVESTIGATING,0,EVID-00367|EVID-00368|EVID-00369,,CORR-CASE-0108,GENESIS,d6625523e3492d30,2025-04-05T00:00:00Z
AUD-00056,CASE-0108,AGENT,INVESTIGATE,get_order|get_settlement|get_bank_transaction,"{""order_id"": ""ORD-705"", ""payment_id"": ""PAY-0705""}","{""settlements_found"": 0, ""bank_found"": false}",financial neighborhood assembled,,,0,EVID-00367|EVID-00368|EVID-00369,,CORR-CASE-0108,d6625523e3492d30,1114f3f204b917f1,2025-04-05T00:00:00Z
AUD-00057,CASE-0108,AGENT,REASON,calculate_variance|check_contract|check_deadline|check_duplicate_claim,"{""case_id"": ""CASE-0108""}","{""variance"": 1722.34, ""unexplained"": ""1722.34"", ""violations"": 1, ""deadline_state"": ""OPEN"", ""is_duplicate"": false}",root cause candidates: SETTLEMENT_MISMATCH,,,0,EVID-00367|EVID-00368|EVID-00369,,CORR-CASE-0108,1114f3f204b917f1,a009a842f861afa4,2025-04-05T00:00:00Z
AUD-00058,CASE-0108,AGENT,PLAN,,"{""allowed"": [""DRAFT_DISPUTE"", ""CREATE_DISPUTE"", ""NOTIFY_GATEWAY"", ""FINANCE_REVIEW"", ""ESCALATE""]}","{""planned"": ""DRAFT_DISPUTE""}",planned action: DRAFT_DISPUTE,,,0,EVID-00367|EVID-00368|EVID-00369,,CORR-CASE-0108,a009a842f861afa4,68358980de4628be,2025-04-05T00:00:00Z
AUD-00059,CASE-0108,AGENT,ACT,draft_dispute,{},"{""draft_id"": ""DRF-CASE-0108""}",dispute drafted (L1 automatic),,,1722.34,EVID-00367|EVID-00368|EVID-00369,,CORR-CASE-0108,68358980de4628be,fa567a2dad22b655,2025-04-05T00:00:00Z
AUD-00060,CASE-0108,AGENT,APPROVAL_REQUEST,,"{""action"": ""CREATE_DISPUTE"", ""risk"": ""L3_FINANCIAL""}",{},requested approval for CREATE_DISPUTE,,PENDING_APPROVAL,1722.34,EVID-00367|EVID-00368|EVID-00369,APR-0007,CORR-CASE-0108,fa567a2dad22b655,24a184bd1e5d62b9,2025-04-05T00:00:00Z
AUD-00061,CASE-0108,HUMAN,APPROVAL_DECISION,,{},{},approved CREATE_DISPUTE,,ACTING,0,EVID-00367|EVID-00368|EVID-00369,APR-0007,CORR-CASE-0108,24a184bd1e5d62b9,0060fef28a1b23a3,2025-04-05T00:00:00Z
AUD-00062,CASE-0108,AGENT,ACT,create_dispute,"{""case_id"": ""CASE-0108""}","{""ok"": true, ""k"": [""dispute_id"", ""status""]}",executed CREATE_DISPUTE,,ACTING,1722.34,EVID-00367|EVID-00368|EVID-00369,APR-0007,CORR-CASE-0108,0060fef28a1b23a3,f970da6a1aae575d,2025-04-05T00:00:00Z
AUD-00063,CASE-0108,SERVICE,VERIFY,check_dispute_status|check_recovery,{},"{""status"": ""RECOVERY_VERIFIED"", ""recovered"": 1722.34}",verification recorded,,VERIFYING,1722.34,EVID-00367|EVID-00368|EVID-00369,,CORR-CASE-0108,f970da6a1aae575d,3ca258ce311cea1e,2025-04-05T00:00:00Z
AUD-00064,CASE-0121,AGENT,OBSERVE,get_case_history,"{""case_id"": ""CASE-0121""}",{},case loaded,,INVESTIGATING,0,EVID-00415|EVID-00416|EVID-00417,,CORR-CASE-0121,GENESIS,48f1a1216c17c129,2025-04-05T00:00:00Z
AUD-00065,CASE-0121,AGENT,INVESTIGATE,get_order|get_settlement|get_bank_transaction,"{""order_id"": ""ORD-807"", ""payment_id"": ""PAY-0807""}","{""settlements_found"": 0, ""bank_found"": false}",financial neighborhood assembled,,,0,EVID-00415|EVID-00416|EVID-00417,,CORR-CASE-0121,48f1a1216c17c129,feffa794ae71c934,2025-04-05T00:00:00Z
AUD-00066,CASE-0121,AGENT,REASON,calculate_variance|check_contract|check_deadline|check_duplicate_claim,"{""case_id"": ""CASE-0121""}","{""variance"": 1616.44, ""unexplained"": ""1616.44"", ""violations"": 1, ""deadline_state"": ""OPEN"", ""is_duplicate"": false}",root cause candidates: SETTLEMENT_MISMATCH,,,0,EVID-00415|EVID-00416|EVID-00417,,CORR-CASE-0121,feffa794ae71c934,7fc74080f82c5d9f,2025-04-05T00:00:00Z
AUD-00067,CASE-0121,AGENT,PLAN,,"{""allowed"": [""DRAFT_DISPUTE"", ""CREATE_DISPUTE"", ""NOTIFY_GATEWAY"", ""FINANCE_REVIEW"", ""ESCALATE""]}","{""planned"": ""DRAFT_DISPUTE""}",planned action: DRAFT_DISPUTE,,,0,EVID-00415|EVID-00416|EVID-00417,,CORR-CASE-0121,7fc74080f82c5d9f,d725bc836ce2c37b,2025-04-05T00:00:00Z
AUD-00068,CASE-0121,AGENT,ACT,draft_dispute,{},"{""draft_id"": ""DRF-CASE-0121""}",dispute drafted (L1 automatic),,,1616.44,EVID-00415|EVID-00416|EVID-00417,,CORR-CASE-0121,d725bc836ce2c37b,73dc28857b3bdce7,2025-04-05T00:00:00Z
AUD-00069,CASE-0121,AGENT,APPROVAL_REQUEST,,"{""action"": ""CREATE_DISPUTE"", ""risk"": ""L3_FINANCIAL""}",{},requested approval for CREATE_DISPUTE,,PENDING_APPROVAL,1616.44,EVID-00415|EVID-00416|EVID-00417,APR-0008,CORR-CASE-0121,73dc28857b3bdce7,caf0c00e49412189,2025-04-05T00:00:00Z
AUD-00070,CASE-0121,HUMAN,APPROVAL_DECISION,,{},{},approved CREATE_DISPUTE,,ACTING,0,EVID-00415|EVID-00416|EVID-00417,APR-0008,CORR-CASE-0121,caf0c00e49412189,0e07d953bf6b012c,2025-04-05T00:00:00Z
AUD-00071,CASE-0121,AGENT,ACT,create_dispute,"{""case_id"": ""CASE-0121""}","{""ok"": true, ""k"": [""dispute_id"", ""status""]}",executed CREATE_DISPUTE,,ACTING,1616.44,EVID-00415|EVID-00416|EVID-00417,APR-0008,CORR-CASE-0121,0e07d953bf6b012c,50fb8feec3347aa0,2025-04-05T00:00:00Z
AUD-00072,CASE-0121,SERVICE,VERIFY,check_dispute_status|check_recovery,{},"{""status"": ""FINANCIAL_EFFECT_DETECTED"", ""recovered"": 969.86}",verification recorded,,VERIFYING,969.86,EVID-00415|EVID-00416|EVID-00417,,CORR-CASE-0121,50fb8feec3347aa0,5d004bb746436ae0,2025-04-05T00:00:00Z
AUD-00073,CASE-0007,AGENT,OBSERVE,get_case_history,"{""case_id"": ""CASE-0007""}",{},case loaded,,INVESTIGATING,0,EVID-00022|EVID-00023|EVID-00024,,CORR-CASE-0007,GENESIS,d673ef967fe5f3d7,2025-04-05T00:00:00Z
AUD-00074,CASE-0007,AGENT,INVESTIGATE,get_order|get_settlement|get_bank_transaction,"{""order_id"": ""ORD-25"", ""payment_id"": ""PAY-0025""}","{""settlements_found"": 0, ""bank_found"": false}",financial neighborhood assembled,,,0,EVID-00022|EVID-00023|EVID-00024,,CORR-CASE-0007,d673ef967fe5f3d7,d83d6fb5e8d2c682,2025-04-05T00:00:00Z
AUD-00075,CASE-0007,AGENT,REASON,calculate_variance|check_contract|check_deadline|check_duplicate_claim,"{""case_id"": ""CASE-0007""}","{""variance"": 2844.83, ""unexplained"": ""1541.86"", ""violations"": 1, ""deadline_state"": ""OPEN"", ""is_duplicate"": false}",root cause candidates: SETTLEMENT_MISMATCH,,,0,EVID-00022|EVID-00023|EVID-00024,,CORR-CASE-0007,d83d6fb5e8d2c682,ed7c15b3b3a44d7f,2025-04-05T00:00:00Z
AUD-00076,CASE-0007,AGENT,PLAN,,"{""allowed"": [""DRAFT_DISPUTE"", ""CREATE_DISPUTE"", ""NOTIFY_GATEWAY"", ""FINANCE_REVIEW"", ""ESCALATE""]}","{""planned"": ""DRAFT_DISPUTE""}",planned action: DRAFT_DISPUTE,,,0,EVID-00022|EVID-00023|EVID-00024,,CORR-CASE-0007,ed7c15b3b3a44d7f,520b8a731948cbaf,2025-04-05T00:00:00Z
AUD-00077,CASE-0007,AGENT,ACT,draft_dispute,{},"{""draft_id"": ""DRF-CASE-0007""}",dispute drafted (L1 automatic),,,1541.86,EVID-00022|EVID-00023|EVID-00024,,CORR-CASE-0007,520b8a731948cbaf,9aacb4890449ca2c,2025-04-05T00:00:00Z
